"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 12:48:46 GMT 2025","Mon Oct 27 12:49:01 GMT 2025","14965","","iteration2.ui.DepositMoneyTest","","iteration2.ui.DepositMoneyTest","userCanDepositMoneyTest","userCanDepositMoneyTest()",""
"passed","Mon Oct 27 12:48:54 GMT 2025","Mon Oct 27 12:48:56 GMT 2025","1511","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [10] kate1998, Ab123456!, MODERATOR, role, Role must be either 'ADMIN' or 'USER'",""
"passed","Mon Oct 27 12:48:33 GMT 2025","Mon Oct 27 12:48:46 GMT 2025","12730","","iteration2.api.ChangeNameTest","","iteration2.api.ChangeNameTest","userCanChangeItsNameTest","userCanChangeItsNameTest()",""
"passed","Mon Oct 27 12:48:51 GMT 2025","Mon Oct 27 12:48:55 GMT 2025","4023","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [6] kate1998, Ab1234!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long",""
"passed","Mon Oct 27 12:48:41 GMT 2025","Mon Oct 27 12:48:54 GMT 2025","13114","","iteration2.ui.TransferMoneyNegativeTest","","iteration2.ui.TransferMoneyNegativeTest","userCannotTransferMoneyWithBlankFieldsTest","userCannotTransferMoneyWithBlankFieldsTest()",""
"passed","Mon Oct 27 12:48:33 GMT 2025","Mon Oct 27 12:48:44 GMT 2025","11329","","iteration2.api.DepositMoneyNegativeTest","","iteration2.api.DepositMoneyNegativeTest","userCannotExceedDepositLimitTest","userCannotExceedDepositLimitTest()",""
"passed","Mon Oct 27 12:48:33 GMT 2025","Mon Oct 27 12:48:56 GMT 2025","22729","","iteration2.ui.TransferMoneyNegativeTest","","iteration2.ui.TransferMoneyNegativeTest","userCannotTransferMoneyToNonExistentAccountTest","userCannotTransferMoneyToNonExistentAccountTest()",""
"passed","Mon Oct 27 12:48:41 GMT 2025","Mon Oct 27 12:48:56 GMT 2025","15353","","iteration2.ui.DepositMoneyTest","","iteration2.ui.DepositMoneyTest","userCanDepositMoneyEdgeCaseTest","userCanDepositMoneyEdgeCaseTest()",""
"passed","Mon Oct 27 12:48:48 GMT 2025","Mon Oct 27 12:49:01 GMT 2025","12975","","iteration1.ui.CreateAccountTest","","iteration1.ui.CreateAccountTest","userCanCreateAccountTest","userCanCreateAccountTest()",""
"passed","Mon Oct 27 12:48:33 GMT 2025","Mon Oct 27 12:48:40 GMT 2025","7315","","iteration1.ui.CreateUserTest","","iteration1.ui.CreateUserTest","adminCanCreateUserTest","adminCanCreateUserTest()",""
"passed","Mon Oct 27 12:48:50 GMT 2025","Mon Oct 27 12:48:55 GMT 2025","4559","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [4] Ak1234.-_@, Kate1998$, USER, username, Username must contain only letters, digits, dashes, underscores, and dots",""
"passed","Mon Oct 27 12:48:39 GMT 2025","Mon Oct 27 12:48:55 GMT 2025","15571","","iteration2.ui.ChangeNameNegativeTest","","iteration2.ui.ChangeNameNegativeTest","userCannotChangeItsNameTest","userCannotChangeItsNameTest()",""
"passed","Mon Oct 27 12:48:46 GMT 2025","Mon Oct 27 12:49:04 GMT 2025","18785","","iteration2.ui.TransferMoneyNegativeTest","","iteration2.ui.TransferMoneyNegativeTest","userCannotTransferMoreThanTenThousandTest","userCannotTransferMoreThanTenThousandTest()",""
"passed","Mon Oct 27 12:48:52 GMT 2025","Mon Oct 27 12:48:54 GMT 2025","1873","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [7] kate1998, Ab12 3!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long",""
"passed","Mon Oct 27 12:48:41 GMT 2025","Mon Oct 27 12:48:44 GMT 2025","2815","","iteration1.api.LoginUserTest","","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest","adminCanGenerateAuthTokenTest()",""
"passed","Mon Oct 27 12:48:46 GMT 2025","Mon Oct 27 12:48:52 GMT 2025","6817","","iteration1.api.CreateAccountTest","","iteration1.api.CreateAccountTest","userCanCreateAccountTest","userCanCreateAccountTest()",""
"passed","Mon Oct 27 12:48:43 GMT 2025","Mon Oct 27 12:48:58 GMT 2025","15662","","iteration2.ui.DepositMoneyNegativeTest","","iteration2.ui.DepositMoneyNegativeTest","userCannotDepositMoneyTest","userCannotDepositMoneyTest()",""
"passed","Mon Oct 27 12:48:49 GMT 2025","Mon Oct 27 12:48:54 GMT 2025","5559","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [1]    , Kate1998$, USER, username, Username cannot be blank",""
"passed","Mon Oct 27 12:48:33 GMT 2025","Mon Oct 27 12:48:50 GMT 2025","16947","","iteration2.ui.ChangeNameTest","","iteration2.ui.ChangeNameTest","userCanChangeItsNameTest","userCanChangeItsNameTest()",""
"passed","Mon Oct 27 12:48:41 GMT 2025","Mon Oct 27 12:48:50 GMT 2025","9205","","iteration2.api.DepositMoneyNegativeTest","","iteration2.api.DepositMoneyNegativeTest","userCannotDepositInvalidAmountTest","userCannotDepositInvalidAmountTest(int) [2] 0",""
"passed","Mon Oct 27 12:48:47 GMT 2025","Mon Oct 27 12:49:04 GMT 2025","17134","","iteration2.ui.TransferMoneyNegativeTest","","iteration2.ui.TransferMoneyNegativeTest","userCannotTransferMoneyLessThanDepositTest","userCannotTransferMoneyLessThanDepositTest()",""
"passed","Mon Oct 27 12:48:33 GMT 2025","Mon Oct 27 12:48:47 GMT 2025","13236","","iteration2.ui.DepositMoneyNegativeTest","","iteration2.ui.DepositMoneyNegativeTest","userCannotDepositMoneyWithBlankAccountFieldTest","userCannotDepositMoneyWithBlankAccountFieldTest()",""
"passed","Mon Oct 27 12:48:47 GMT 2025","Mon Oct 27 12:48:51 GMT 2025","3719","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectData","adminCanCreateUserWithCorrectData()",""
"passed","Mon Oct 27 12:48:33 GMT 2025","Mon Oct 27 12:48:47 GMT 2025","13971","","iteration2.ui.DepositMoneyNegativeTest","","iteration2.ui.DepositMoneyNegativeTest","userCannotDepositMoneyWithBlankAmountFieldTest","userCannotDepositMoneyWithBlankAmountFieldTest()",""
"passed","Mon Oct 27 12:48:33 GMT 2025","Mon Oct 27 12:48:57 GMT 2025","23833","","iteration2.ui.TransferMoneyTest","","iteration2.ui.TransferMoneyTest","userCanTransferMoneyTest","userCanTransferMoneyTest()",""
"passed","Mon Oct 27 12:48:50 GMT 2025","Mon Oct 27 12:48:55 GMT 2025","5246","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [2] ab, Kate1998$, USER, username, Username must be between 3 and 15 characters",""
"passed","Mon Oct 27 12:48:47 GMT 2025","Mon Oct 27 12:49:03 GMT 2025","16576","","iteration2.ui.TransferMoneyTest","","iteration2.ui.TransferMoneyTest","userCanTransferMoneyEdgeCaseTest","userCanTransferMoneyEdgeCaseTest()",""
"passed","Mon Oct 27 12:48:54 GMT 2025","Mon Oct 27 12:48:56 GMT 2025","1763","","iteration1.api.CreateUserTest","","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [8] kate1998, A123456!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long",""
"passed","Mon Oct 27 12:48:34 GMT 2025","Mon Oct 27 12:48:46 GMT 2025","11869","","iteration2.ui.ChangeNameNegativeTest","","iteration2.ui.ChangeNameNegativeTest","userCannotChangeItsNameToBlankTest","userCannotChangeItsNameToBlankTest()",""
"passed","Mon Oct 27 12:48:44 GMT 2025","Mon Oct 27 12:48:49 GMT 2025","4490","","iteration1.api.LoginUserTest","","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest","userCanGenerateAuthTokenTest()",""
"passed","Mon Oct 27 12:48:50 GMT 2025","Mon Oct 27 12:49:01 GMT 2025","11103","","iteration1.ui.LoginUserTest","","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest","userCanLoginWithCorrectDataTest()",""
"passed","Mon Oct 27 12:48:37 GMT 2025","Mon Oct 27 12:48:44 GMT 2025","6735","","iteration2.api.DepositMoneyNegativeTest","","iteration2.api.DepositMoneyNegativeTest","userCannotDepositInvalidAmountTest","userCannotDepositInvalidAmountTest(int) [1] -1000",""
"passed","Mon Oct 27 12:48:33 GMT 2025","Mon Oct 27 12:48:49 GMT 2025","15835","","iteration2.api.DepositMoneyTest","","iteration2.api.DepositMoneyTest","userCanDepositMoneyTest","userCanDepositMoneyTest()",""
