"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6234","userCannotDepositInvalidAmountTest(int) [1] -1000","","2025-10-28","passed","2025-10-28","","iteration2.api.DepositMoneyNegativeTest","iteration2.api.DepositMoneyNegativeTest","userCannotDepositInvalidAmountTest"
"","22154","userCannotTransferMoneyLessThanDepositTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.TransferMoneyNegativeTest","iteration2.ui.TransferMoneyNegativeTest","userCannotTransferMoneyLessThanDepositTest"
"","3324","userCanTransferMoneyTest()","","2025-10-28","passed","2025-10-28","","iteration2.api.TransferMoneyTest","iteration2.api.TransferMoneyTest","userCanTransferMoneyTest"
"","4096","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [2] ab, Kate1998$, USER, username, Username must be between 3 and 15 characters","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","13879","userCannotChangeItsNameTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.ChangeNameNegativeTest","iteration2.ui.ChangeNameNegativeTest","userCannotChangeItsNameTest"
"","11173","adminCannotCreateUserTest()","","2025-10-28","passed","2025-10-28","","iteration1.ui.CreateUserTest","iteration1.ui.CreateUserTest","adminCannotCreateUserTest"
"","27101","userCanTransferMoneyEdgeCaseTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCanTransferMoneyEdgeCaseTest"
"","14151","userCannotChangeItsNameToBlankTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.ChangeNameNegativeTest","iteration2.ui.ChangeNameNegativeTest","userCannotChangeItsNameToBlankTest"
"","8461","userCanLoginWithCorrectDataTest()","","2025-10-28","passed","2025-10-28","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","userCanLoginWithCorrectDataTest"
"","16274","userCannotTransferMoneyWithBlankFieldsTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.TransferMoneyNegativeTest","iteration2.ui.TransferMoneyNegativeTest","userCannotTransferMoneyWithBlankFieldsTest"
"","706","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [10] kate1998, Ab123456!, MODERATOR, role, Role must be either 'ADMIN' or 'USER'","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","25366","userCannotTransferMoneyToNonExistentAccountTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.TransferMoneyNegativeTest","iteration2.ui.TransferMoneyNegativeTest","userCannotTransferMoneyToNonExistentAccountTest"
"","12510","adminCanCreateUserTest()","","2025-10-28","passed","2025-10-28","","iteration1.ui.CreateUserTest","iteration1.ui.CreateUserTest","adminCanCreateUserTest"
"","15654","userCanChangeItsNameTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.ChangeNameTest","iteration2.ui.ChangeNameTest","userCanChangeItsNameTest"
"","21228","userCannotDepositMoneyWithBlankAmountFieldTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.DepositMoneyNegativeTest","iteration2.ui.DepositMoneyNegativeTest","userCannotDepositMoneyWithBlankAmountFieldTest"
"","567","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [9] kate1998, Ab123456, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","5632","userCannotDepositInvalidAmountTest(int) [2] 0","","2025-10-28","passed","2025-10-28","","iteration2.api.DepositMoneyNegativeTest","iteration2.api.DepositMoneyNegativeTest","userCannotDepositInvalidAmountTest"
"","1036","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [7] kate1998, Ab12 3!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","5386","userCanCreateAccountTest()","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateAccountTest","iteration1.api.CreateAccountTest","userCanCreateAccountTest"
"","18678","userCannotDepositMoneyWithBlankAccountFieldTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.DepositMoneyNegativeTest","iteration2.ui.DepositMoneyNegativeTest","userCannotDepositMoneyWithBlankAccountFieldTest"
"","21168","userCannotDepositMoneyTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.DepositMoneyNegativeTest","iteration2.ui.DepositMoneyNegativeTest","userCannotDepositMoneyTest"
"","609","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [5] kate1998, , USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","21284","userCanDepositMoneyEdgeCaseTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.DepositMoneyTest","iteration2.ui.DepositMoneyTest","userCanDepositMoneyEdgeCaseTest"
"","4325","adminCanGenerateAuthTokenTest()","","2025-10-28","passed","2025-10-28","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
